anime_id,Name,English name,Other name,Score,Genres,Aired,Status,Rating,Rank,Popularity,number_of_female_reviewers,number_of_male_reviewers
45092,Mao Gongzhu Su Fei,Cat Princess,猫公主苏菲,UNKNOWN,"Adventure, Fantasy","May 1, 2019",Finished Airing,PG - Children,17903.0,22503,0,0
45093,Shi Shi Feng Bao,Monster,始石疯暴,UNKNOWN,Fantasy,"Oct 11, 2019",Finished Airing,PG - Children,19645.0,22614,0,0
45094,Shi Er Shengxiao: Fuxing Gao Zhao Zhu Xiao Ba,Lucky Star,十二生肖之福星高照朱小八,UNKNOWN,Fantasy,"Sep 13, 2019",Finished Airing,PG - Children,19631.0,22397,0,0
45095,Can Wa Yu Tianchi Guaishou: Ruixue Zhao Fengnian,Snow Indicates Harvest,参娃与天池怪兽之瑞雪兆丰年,UNKNOWN,"Adventure, Fantasy","Feb 16, 2019",Finished Airing,PG - Children,15065.0,22359,0,0
45096,Xi Yue Hui,UNKNOWN,喜乐会,UNKNOWN,Fantasy,"Nov 25, 2019",Finished Airing,PG - Children,13518.0,22993,0,0
45097,Wo de Pengyou Zhu Dike,UNKNOWN,我的朋友猪迪克,UNKNOWN,"Comedy, Fantasy",Mar 2014 to ?,Finished Airing,PG - Children,13386.0,23747,0,0
45098,Zhu Dike: Guguai Dao Da Maoxian I,UNKNOWN,猪迪克之古怪岛大冒险I,UNKNOWN,"Adventure, Fantasy","Nov 14, 2016 to ?",Finished Airing,PG - Children,14327.0,23121,0,0
45099,Zhu Dike: Guguai Dao Da Maoxian II,UNKNOWN,猪迪克之古怪岛大冒险II,UNKNOWN,"Adventure, Fantasy","Aug 14, 2017 to ?",Finished Airing,PG - Children,14328.0,23126,0,0
45100,Zhu Dike: Mengxiang Xunlian Ying,UNKNOWN,猪迪克之梦想训练营,UNKNOWN,Fantasy,2018 to ?,Finished Airing,PG - Children,14330.0,23576,0,0
45101,Zhu Dike: Caihong Jiejie Jiang Gushi,UNKNOWN,猪迪克之彩虹姐姐讲故事,UNKNOWN,Fantasy,2016 to ?,Finished Airing,PG - Children,14326.0,23575,0,0
45102,Kong Tian Zhandui,UNKNOWN,空天战队,UNKNOWN,"Action, Adventure, Sci-Fi","Sep 15, 2017 to ?",Finished Airing,PG - Children,17405.0,22822,0,0
45103,Kong Tian Zhandui: Zui Xing Shou Dazhan,UNKNOWN,空天战队之星兽大战,UNKNOWN,"Action, Adventure, Sci-Fi","May 18, 2019",Finished Airing,PG - Children,17406.0,22440,0,0
45104,Shenhai Tegong Dui,Deep Sea Ranger,深海特攻队,UNKNOWN,"Adventure, Sci-Fi","Aug 10, 2016 to ?",Finished Airing,PG - Children,19597.0,23177,0,0
45105,Shenhai Tegong Dui: Chao Neng Jing Shi,Deep Sea Rangers: Super Crystals,深海特攻队之超能晶石,UNKNOWN,"Adventure, Fantasy, Sci-Fi","Nov 2, 2019",Finished Airing,PG - Children,19598.0,22612,0,0
45107,Qiche Xiao Zhen Huwei Dui,UNKNOWN,汽车小镇护卫队,UNKNOWN,Fantasy,2020 to ?,Finished Airing,PG - Children,19080.0,23722,0,0
45108,One of Us,UNKNOWN,ONE OF US,6.24,UNKNOWN,"Oct 19, 2020",Finished Airing,G - All Ages,UNKNOWN,18026,0,0
45109,Title Idol,UNKNOWN,TITLE IDOL,6.33,UNKNOWN,"Dec 20, 2020",Finished Airing,PG-13 - Teens 13 or older,UNKNOWN,17800,0,0
45111,Dongwu Tegong Ju,Spycies,动物特工局,UNKNOWN,"Adventure, Fantasy","Jan 11, 2020",Finished Airing,PG - Children,15649.0,20891,1,0
45112,Xiao Meirenyu de Qihuan Maoxian,The New Little Mermaid: Ocean Girl,小美人鱼的奇幻冒险,UNKNOWN,"Adventure, Fantasy","Apr 3, 2021",Finished Airing,G - All Ages,13620.0,20745,0,0
45113,Xingji Da Taowang,Water Planet,星际大逃亡,UNKNOWN,"Adventure, Fantasy, Sci-Fi","Jun 1, 2020",Finished Airing,PG - Children,13855.0,22282,0,0
45114,Alibaba Yu Shen Deng,UNKNOWN,阿里巴巴与神灯,UNKNOWN,"Adventure, Fantasy","Sep 5, 2020",Finished Airing,PG - Children,14529.0,21814,0,0
45115,Qimiao Wangguo: Mofa Qi Yuan,Wonderful Kingdom: Enchanted,奇妙王国之魔法奇缘,UNKNOWN,"Adventure, Fantasy","Dec 26, 2020",Finished Airing,PG - Children,19089.0,21743,0,0
45116,Zui Ke Ai De Ren,UNKNOWN,最可爱的人,UNKNOWN,UNKNOWN,"Oct 18, 2016 to ?",Finished Airing,R - 17+ (violence & profanity),14389.0,21955,0,0
45118,Long Shen Zhizi,Son of the Dragon God,龙神之子,UNKNOWN,"Adventure, Fantasy","Oct 31, 2020",Finished Airing,PG - Children,17748.0,20873,0,0
45119,Xiao Po Hai Da Zhuangyuan,Little Pobaby and Big Champion,小破孩大状元,UNKNOWN,"Adventure, Comedy, Fantasy","Jan 1, 2021",Finished Airing,G - All Ages,13630.0,21927,0,0
45120,Shibing Shunliu: Bing Wang Zhengfeng,The Hero Battle,士兵顺溜:兵王争锋,UNKNOWN,Action,"Jan 17, 2020",Finished Airing,G - All Ages,19662.0,21912,0,0
45121,Hua Qian Gu: Hua Hun Zhi Lu,UNKNOWN,花千谷之花魂之路,UNKNOWN,Fantasy,"Mar 27, 2020",Finished Airing,G - All Ages,16583.0,21664,0,0
45124,Long Hu Ji: Zhongyi Guanyunzhang,UNKNOWN,龙虎纪之忠义关云长,UNKNOWN,Fantasy,"Apr 16, 2020",Finished Airing,R - 17+ (violence & profanity),17745.0,22171,0,0
45133,Jingling Meng Ye Luoli,UNKNOWN,精灵梦叶罗丽,UNKNOWN,Fantasy,"Jun 6, 2013 to ?",Finished Airing,G - All Ages,16915.0,22909,0,0
45141,Meng wa,UNKNOWN,梦娃,UNKNOWN,UNKNOWN,2017 to ?,Finished Airing,PG - Children,18025.0,23506,0,0
45142,Mohuan Xian Zong (Movie),Magic Wonderland (Movie),魔幻仙踪,UNKNOWN,"Adventure, Fantasy","May 30, 2014",Finished Airing,PG - Children,18231.0,22122,0,0
45143,Huoxian Chuanqi,UNKNOWN,火线传奇,UNKNOWN,"Action, Comedy","Mar 11, 2016 to ?",Finished Airing,R+ - Mild Nudity,16663.0,22536,0,0
45144,Huoxian Chuanqi 2nd Season,UNKNOWN,火线传奇 第二季,UNKNOWN,"Action, Comedy",2017 to ?,Finished Airing,R+ - Mild Nudity,16664.0,23753,0,0
45145,Huoxian Chuanqi 3rd Season,UNKNOWN,火线传奇 第三季,UNKNOWN,"Action, Comedy",2018 to ?,Finished Airing,R+ - Mild Nudity,16666.0,23827,0,0
45146,Huoxian Chuanqi: Xiao Juchang,UNKNOWN,火线传奇小剧场,UNKNOWN,"Action, Comedy",Not available,Finished Airing,R+ - Mild Nudity,16666.0,23422,0,0
45147,Chi Ji Da Zuozhan,UNKNOWN,吃鸡大作战,UNKNOWN,Comedy,"May 30, 2018 to Aug 29, 2018",Finished Airing,PG-13 - Teens 13 or older,15200.0,22886,0,0
45148,Chi Ji Da Zuozhan 2nd Season,UNKNOWN,吃鸡大作战第2季,UNKNOWN,Comedy,"Jul 30, 2019 to Nov 26, 2019",Finished Airing,PG-13 - Teens 13 or older,15201.0,23015,0,0
45149,Chi Ji Da Zuozhan 3rd Season,UNKNOWN,吃鸡大作战 第3季,UNKNOWN,Comedy,"Jul 3, 2020 to Nov 27, 2020",Finished Airing,PG-13 - Teens 13 or older,15201.0,22595,0,0
45151,Guli Guli,UNKNOWN,咕力咕力,UNKNOWN,Fantasy,Not available,Finished Airing,PG - Children,16201.0,23262,0,0
45152,Guli Guli: Hao Xiguan,UNKNOWN,咕力咕力好习惯,UNKNOWN,Fantasy,2015 to ?,Finished Airing,PG - Children,16203.0,23673,0,0
45153,Guli Guli: Dongwu Shijie,UNKNOWN,咕力咕力之动物世界,UNKNOWN,Fantasy,2019 to ?,Finished Airing,PG - Children,16202.0,24474,0,0
45154,Guli Guli: Yuanwang Ping,UNKNOWN,咕力咕力愿望瓶,UNKNOWN,Fantasy,2017 to ?,Finished Airing,PG - Children,16204.0,24505,0,0
45155,Guli Donghua: Luoji Siwei Qimeng,UNKNOWN,咕力动画逻辑思维启蒙,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,16200.0,24092,0,0
45156,Zhonghua Deyu Gushi,UNKNOWN,中华德育故事,UNKNOWN,UNKNOWN,2008 to 2013,Finished Airing,G - All Ages,14306.0,24232,0,0
45169,Jiu Ye Shen Chuan,Legend of Nine Nights,九夜神传,UNKNOWN,"Action, Adventure, Fantasy","Dec 21, 2020 to Mar 8, 2021",Finished Airing,UNKNOWN,16954.0,14823,0,1
45171,Zhonghua Meide Gushi: Chengxin Pian,UNKNOWN,中华美德故事·诚信篇,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,14312.0,24233,0,0
45173,Keke Ke Xin Yijia Ren,UNKNOWN,可可可心一家人,UNKNOWN,Comedy,2003 to ?,Finished Airing,PG - Children,17218.0,23272,0,0
45174,Keke Ke Xin Yijia Ren 2,UNKNOWN,可可可心一家人2,UNKNOWN,Comedy,"Jul 2, 2006 to ?",Finished Airing,PG - Children,17219.0,23440,0,0
45175,Xiao Maguo He,UNKNOWN,小马过河,UNKNOWN,"Adventure, Fantasy",Not available,Finished Airing,PG - Children,13617.0,23487,0,0
45176,Long Dou Taiqiu,UNKNOWN,龙斗台球,UNKNOWN,UNKNOWN,"Apr 12, 2011 to ?",Finished Airing,PG - Children,17745.0,23454,0,0
45177,Fu Wu Shu: Sanshiliu Ji,UNKNOWN,福五鼠之三十六计,UNKNOWN,"Adventure, Fantasy","Aug 20, 2008 to ?",Finished Airing,PG - Children,15928.0,22812,0,0
45178,Fu Wu Shu: Sunzi Bingfa,UNKNOWN,福五鼠之孙子兵法,UNKNOWN,"Adventure, Fantasy",Nov 2009 to ?,Finished Airing,PG - Children,15929.0,22768,0,0
45179,Fu Wu Shu: Zhanguo Fengyun,UNKNOWN,福五鼠之战国风云,UNKNOWN,"Adventure, Fantasy",Sep 2012 to ?,Finished Airing,PG - Children,15930.0,23024,0,0
45180,Xiao Qingtian Situ Gong,UNKNOWN,小青天司徒公,UNKNOWN,UNKNOWN,2007 to ?,Finished Airing,PG - Children,13633.0,24445,0,0
45181,Xiayi Xiao Qingtian,UNKNOWN,侠义小青天,UNKNOWN,Adventure,"Jul 2, 2010 to Sep 1, 2010",Finished Airing,PG - Children,13763.0,21579,0,0
45182,Yin Cha Zhi Kung Fu Xue Yuan,UNKNOWN,饮茶之功夫学园,UNKNOWN,UNKNOWN,Jan 2007 to ?,Finished Airing,PG - Children,14050.0,24571,0,0
45187,Zuqiu Jianghu,UNKNOWN,足球江湖,UNKNOWN,Sports,"May 31, 2017 to Nov 22, 2017",Finished Airing,G - All Ages,14402.0,22223,0,0
45188,Lao Dai He Xiao Dai,UNKNOWN,老呆和小呆,UNKNOWN,UNKNOWN,"Aug 19, 2007 to ?",Finished Airing,PG - Children,17630.0,23633,0,0
45189,Xiaoxiong You En,UNKNOWN,小熊优恩,UNKNOWN,Fantasy,"Mar 28, 2017 to ?",Finished Airing,PG - Children,13758.0,24602,0,0
45190,Bun Bun,UNKNOWN,笨笨,UNKNOWN,Fantasy,2011,Finished Airing,PG - Children,15028.0,22326,0,0
45192,Chong Chong Nao Fantian,UNKNOWN,虫虫闹翻天,UNKNOWN,"Adventure, Fantasy",2011 to ?,Finished Airing,PG - Children,15274.0,23056,0,0
45194,Er Tu Da Mengxiang,UNKNOWN,二兔大梦想,UNKNOWN,Fantasy,"May 19, 2014 to ?",Finished Airing,PG - Children,15814.0,23610,0,0
45195,An Jie Shen Shi,Divine Envoy of the Dark World,暗界神使,6.22,"Action, Fantasy","Dec 25, 2020 to May 21, 2021",Finished Airing,PG-13 - Teens 13 or older,7779.0,13616,2,0
