anime_id,Name,English name,Other name,Score,Genres,Aired,Status,Rating,Rank,Popularity,number_of_female_reviewers,number_of_male_reviewers
3053,Ganbare! Kickers,Fight! Kickers,がんばれ！キッカーズ,6.85,Sports,"Oct 15, 1986 to Mar 25, 1987",Finished Airing,G - All Ages,4638.0,6241,240,510
3054,La Seine no Hoshi,UNKNOWN,ラ・セーヌの星,6.51,"Adventure, Drama","Apr 4, 1975 to Dec 26, 1975",Finished Airing,G - All Ages,6328.0,9816,61,33
3057,Loveless Specials,UNKNOWN,LOVELESS おはよう ラブレスくーん,6.47,"Boys Love, Comedy, Fantasy, Romance, Supernatural","Nov 1, 2005 to Apr 27, 2006",Finished Airing,PG-13 - Teens 13 or older,6532.0,4734,1241,179
3059,Ninja Senshi Tobikage,Ninja Robots,忍者戦士飛影,7.03,"Action, Adventure, Sci-Fi","Oct 6, 1985 to Jul 27, 1986",Finished Airing,PG-13 - Teens 13 or older,3842.0,8213,39,139
3060,Dallos,Dallos,ダロス,5.96,"Action, Sci-Fi","Dec 21, 1983 to Jul 5, 1984",Finished Airing,PG-13 - Teens 13 or older,9012.0,6436,31,244
3061,Kishin Heidan,Kishin Corps,機神兵団,6.25,"Adventure, Sci-Fi","Mar 25, 1993 to Aug 25, 1994",Finished Airing,PG-13 - Teens 13 or older,7611.0,10041,7,79
3064,Kizuoibito,Wounded Man,傷追い人,4.03,"Action, Adventure, Suspense","Jul 5, 1986 to Aug 25, 1988",Finished Airing,R+ - Mild Nudity,12606.0,10465,2,28
3065,Ozanari Dungeon: Kaze no Tou,UNKNOWN,おざなりダンジョン 風の塔,6.38,"Action, Adventure, Comedy, Fantasy","Sep 27, 1991 to Dec 20, 1991",Finished Airing,PG-13 - Teens 13 or older,6994.0,10437,4,32
3067,Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,Farewell to Space Battleship Yamato: In the Name of Love,さらば宇宙戦艦ヤマト・愛の戦士たち,7.08,"Action, Drama, Sci-Fi","Aug 5, 1978",Finished Airing,PG-13 - Teens 13 or older,3635.0,8521,12,79
3069,Yamato yo Towa ni,Be Forever Yamato,ヤマトよ永遠に,6.59,"Action, Adventure, Drama, Sci-Fi","Aug 2, 1980",Finished Airing,PG-13 - Teens 13 or older,5860.0,8897,7,51
